configuration,window_s,cell,component,point,low,high,se
site_day,10_100,alt0_open_beginners,equipment,-0.0068656341311144065,-0.007610274263976741,-0.0060901828265256305,0.0004674472960049361
site_day,10_100,alt0_open_beginners,altitude_circuit,0.008767351696345571,0.006595088581167974,0.011085292111776678,0.001339144773192758
site_day,10_100,alt0_open_beginners,altitude_equipment,0.00026148035233297673,-0.0017646596533886728,0.002422674713302142,0.0012803263610417842
site_day,10_100,alt0_open_beginners,circuit_equipment,-0.0008326517849239767,-0.0015612959169474972,-7.25797867633327e-05,0.0004527712127868347
site_day,10_100,alt0_open_beginners,three_way,-0.0010125869280197541,-0.003047024270960691,0.0009887272019032443,0.001266645589444811
site_day,10_100,alt0_open_experts,altitude,-0.006108120071014689,-0.008417719920534573,-0.00387013676751391,0.0013795235235354328
site_day,10_100,alt0_open_experts,circuit,0.005901530327626636,0.005049082207753908,0.006743070643472027,0.0005029558939590374
site_day,10_100,alt0_open_experts,equipment,0.0068656341311145175,0.0060901828265255194,0.0076102742639768345,0.00046744729600493715
site_day,10_100,alt0_open_experts,altitude_circuit,0.008767351696345571,0.006595088581167974,0.011085292111776678,0.001339144773192758
site_day,10_100,alt0_open_experts,altitude_equipment,-0.00026148035233308775,-0.0024226747133021475,0.0017646596533885726,0.0012803263610417868
site_day,10_100,alt0_open_experts,circuit_equipment,0.0008326517849238657,7.257978676344367e-05,0.001561295916947486,0.0004527712127868363
site_day,10_100,alt0_open_experts,three_way,0.0010125869280198652,-0.000988727201903239,0.003047024270960684,0.0012666455894448105
site_day,10_100,alt0_closed_beginners,altitude,-0.006108120071014689,-0.008417719920534573,-0.00387013676751391,0.0013795235235354328
site_day,10_100,alt0_closed_beginners,circuit,-0.005901530327626636,-0.006743070643472238,-0.005049082207753908,0.0005029558939590429
site_day,10_100,alt0_closed_beginners,equipment,-0.0068656341311144065,-0.007610274263976741,-0.0060901828265256305,0.0004674472960049361
site_day,10_100,alt0_closed_beginners,altitude_circuit,-0.008767351696345571,-0.011085292111776569,-0.006595088581167969,0.0013391447731927585
site_day,10_100,alt0_closed_beginners,altitude_equipment,0.00026148035233297673,-0.0017646596533886728,0.002422674713302142,0.0012803263610417842
site_day,10_100,alt0_closed_beginners,circuit_equipment,0.0008326517849239767,7.257978676323273e-05,0.001561295916947486,0.0004527712127868339
site_day,10_100,alt0_closed_beginners,three_way,0.0010125869280197541,-0.0009887272019034332,0.0030470242709604734,0.0012666455894448148
site_day,10_100,alt0_closed_experts,altitude,-0.006108120071014689,-0.008417719920534573,-0.00387013676751391,0.0013795235235354328
site_day,10_100,alt0_closed_experts,circuit,-0.005901530327626636,-0.006743070643472238,-0.005049082207753908,0.0005029558939590429
site_day,10_100,alt0_closed_experts,equipment,0.0068656341311145175,0.0060901828265255194,0.0076102742639768345,0.00046744729600493715
site_day,10_100,alt0_closed_experts,altitude_circuit,-0.008767351696345571,-0.011085292111776569,-0.006595088581167969,0.0013391447731927585
site_day,10_100,alt0_closed_experts,altitude_equipment,-0.00026148035233308775,-0.0024226747133021475,0.0017646596533885726,0.0012803263610417868
site_day,10_100,alt0_closed_experts,circuit_equipment,-0.0008326517849240878,-0.0015612959169474861,-7.257978676343817e-05,0.0004527712127868349
site_day,10_100,alt0_closed_experts,three_way,-0.0010125869280196431,-0.0030470242709604804,0.0009887272019032333,0.0012666455894448055
site_day,10_100,alt1_open_beginners,altitude,-0.0036344473104443775,-0.004725235984047982,-0.0025106264442433693,0.0006846965057462151
