discipline,statistic,variant,days,rho,occupied_day_pairs,bartlett_variance_factor
para,msd_10000,month_centred,63,0.011661077472006993,1920,1.82381857563438
para,msd_10000,month_centred,64,-0.014577248461796933,1921,1.8295782195436705
para,hurst,month_centred,0,1.0,3642,
para,hurst,month_centred,1,0.1601339200313731,2503,1.0
para,hurst,month_centred,2,0.06674608504543575,2312,1.1601339200313732
para,hurst,month_centred,3,0.036509142304021684,2257,1.2580092834054546
para,hurst,month_centred,4,0.01695437348735886,2246,1.3252015362445062
para,hurst,month_centred,5,-0.0002117556319781052,2183,1.3722986373428807
para,hurst,month_centred,6,0.0022416352977923447,2214,1.403626119531138
para,hurst,month_centred,7,0.04783149770050028,2181,1.4266433597506905
para,hurst,month_centred,8,0.0021643519234689048,2174,1.4558641643404802
para,hurst,month_centred,9,-0.016714629542344338,2171,1.4790724238933097
